"municipalityName";"municipalityCode";"provinceCode";"provinceName";"securityRegionCode";"securityRegionName";"population"
"Hoogeveen";"GM0118";"PV22";"Drenthe";"VR03";"Drenthe";"55699"
"Hoorn";"GM0405";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"73261"
"Horst aan de Maas";"GM1507";"PV31";"Limburg";"VR23";"Limburg-Noord";"42429"
"Houten";"GM0321";"PV26";"Utrecht";"VR09";"Utrecht";"50146"
"Huizen";"GM0406";"PV27";"Noord-Holland";"VR14";"GooienVechtstreek";"41273"
"Hulst";"GM0677";"PV29";"Zeeland";"VR19";"Zeeland";"27556"
"IJsselstein";"GM0353";"PV26";"Utrecht";"VR09";"Utrecht";"34109"
"Kaag en Braassem";"GM1884";"PV28";"Zuid-Holland";"VR16";"Hollands-Midden";"27297"
"Kampen";"GM0166";"PV23";"Overijssel";"VR04";"IJsselland";"54319"
"Kapelle";"GM0678";"PV29";"Zeeland";"VR19";"Zeeland";"12695"
"Katwijk";"GM0537";"PV28";"Zuid-Holland";"VR16";"Hollands-Midden";"65753"
"Kerkrade";"GM0928";"PV31";"Limburg";"VR24";"Limburg-Zuid";"45749"
"Koggenland";"GM1598";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"22749"
"Krimpen aan den IJssel";"GM0542";"PV28";"Zuid-Holland";"VR17";"Rotterdam-Rijnmond";"29526"
"Krimpenerwaard";"GM1931";"PV28";"Zuid-Holland";"VR16";"Hollands-Midden";"56319"
"Laarbeek";"GM1659";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"22523"
"Landerd";"GM1685";"PV30";"Noord-Brabant";"VR21";"Brabant-Noord";"15730"
"Landgraaf";"GM0882";"PV31";"Limburg";"VR24";"Limburg-Zuid";"37445"
"Landsmeer";"GM0415";"PV27";"Noord-Holland";"VR11";"Zaanstreek-Waterland";"11491"
"Langedijk";"GM0416";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"28163"
"Lansingerland";"GM1621";"PV28";"Zuid-Holland";"VR17";"Rotterdam-Rijnmond";"62384"
"Laren (NH.)";"GM0417";"PV27";"Noord-Holland";"VR14";"GooienVechtstreek";"11280"
"Leeuwarden";"GM0080";"PV21";"Fryslân";"VR02";"Fryslân";"124084"
"Leiden";"GM0546";"PV28";"Zuid-Holland";"VR16";"Hollands-Midden";"125099"
"Leiderdorp";"GM0547";"PV28";"Zuid-Holland";"VR16";"Hollands-Midden";"27056"
"Leidschendam-Voorburg";"GM1916";"PV28";"Zuid-Holland";"VR15";"Haaglanden";"76534"
"Lelystad";"GM0995";"PV24";"Flevoland";"VR25";"Flevoland";"78598"
"Leudal";"GM1640";"PV31";"Limburg";"VR23";"Limburg-Noord";"35879"
"Leusden";"GM0327";"PV26";"Utrecht";"VR09";"Utrecht";"30401"
"Lingewaard";"GM1705";"PV25";"Gelderland";"VR07";"Gelderland-Midden";"46601"
"Lisse";"GM0553";"PV28";"Zuid-Holland";"VR16";"Hollands-Midden";"22955"
"Lochem";"GM0262";"PV25";"Gelderland";"VR06";"Noord-enOost-Gelderland";"33729"
"Loon op Zand";"GM0809";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"23408"
"Lopik";"GM0331";"PV26";"Utrecht";"VR09";"Utrecht";"14467"
"Loppersum";"GM0024";"PV20";"Groningen";"VR01";"Groningen";"9537"
"Losser";"GM0168";"PV23";"Overijssel";"VR05";"Twente";"22683"
"Maasdriel";"GM0263";"PV25";"Gelderland";"VR08";"Gelderland-Zuid";"25030"
"Maasgouw";"GM1641";"PV31";"Limburg";"VR23";"Limburg-Noord";"23965"
"Maassluis";"GM0556";"PV28";"Zuid-Holland";"VR17";"Rotterdam-Rijnmond";"33213"
"Maastricht";"GM0935";"PV31";"Limburg";"VR24";"Limburg-Zuid";"121575"
"Medemblik";"GM0420";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"45101"
"Meerssen";"GM0938";"PV31";"Limburg";"VR24";"Limburg-Zuid";"18828"
"Meierijstad";"GM1948";"PV30";"Noord-Brabant";"VR21";"Brabant-Noord";"81194"
"Meppel";"GM0119";"PV22";"Drenthe";"VR03";"Drenthe";"33920"
"Middelburg (Z.)";"GM0687";"PV29";"Zeeland";"VR19";"Zeeland";"48822"
"Midden-Delfland";"GM1842";"PV28";"Zuid-Holland";"VR15";"Haaglanden";"19341"
"Midden-Drenthe";"GM1731";"PV22";"Drenthe";"VR03";"Drenthe";"33185"
"Midden-Groningen";"GM1952";"PV20";"Groningen";"VR01";"Groningen";"60797"
"Mill en Sint Hubert";"GM0815";"PV30";"Noord-Brabant";"VR21";"Brabant-Noord";"10939"
"Moerdijk";"GM1709";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"37129"
